VACATION,SW,S_INCOME,E_INCOME,S_POP,E_POP,SLOT,GATE,DISTANCE,FARE
Yes,No,28637,26752,3036732,1440377,Free,Free,1118,207.84
Yes,No,26506,26752,4459144,1440377,Free,Constrained,1128,113.39
Yes,No,30124,26752,5787293,379566,Free,Free,1245,126.62
Yes,No,29260,26752,7830332,379566,Controlled,Free,1108,136.68
Yes,No,29260,26752,7830332,379566,Free,Free,1108,136.68
Yes,No,26506,26752,4459144,379566,Free,Constrained,1088,108.15
No,No,32991,24348,8621121,111745,Controlled,Free,457,180.85
No,No,32991,24348,8621121,111745,Controlled,Free,457,180.85
No,No,32991,24348,8621121,111745,Free,Constrained,457,180.85
No,No,26993,30268,3532657,1106780,Free,Free,854,175.81
No,No,29260,30268,7830332,1106780,Controlled,Free,779,240.88
No,No,29260,30268,7830332,1106780,Free,Free,779,240.88
Yes,No,24575,26681,1197234,873131,Free,Free,2764,183.19
Yes,No,24706,26681,9056076,873131,Free,Free,2555,167.16
Yes,No,38813,26681,1653017,873131,Free,Free,2401,177.09
Yes,No,30916,26681,2230831,873131,Free,Free,2679,221.89
No,No,26993,27211,3532657,3770125,Free,Free,701,233.16
No,Yes,23665,27211,1038660,3770125,Free,Free,138,67.1
No,No,30124,27211,5787293,3770125,Free,Free,1605,349.97
No,Yes,29260,27211,7830332,3770125,Controlled,Free,939,139.56
No,Yes,29260,27211,7830332,3770125,Free,Free,939,139.56
No,Yes,26046,27211,2230955,3770125,Free,Free,1117,191.63
No,Yes,18933,27211,382155,3770125,Free,Free,184,65.31
No,Yes,28637,27211,3036732,3770125,Free,Free,234,67.78
No,No,29055,27211,1862106,3770125,Free,Free,866,204.68
No,Yes,26506,27211,4459144,3770125,Free,Constrained,1102,177.22
No,No,26993,25475,3532657,1489247,Free,Free,430,109.78
No,Yes,29260,25475,7830332,1489247,Controlled,Free,167,62.63
No,Yes,29260,25475,7830332,1489247,Free,Free,167,62.63
No,Yes,26506,25475,4459144,1489247,Free,Constrained,241,169.58
Yes,No,24510,25475,379566,1489247,Free,Free,943,105.73
Yes,No,24575,25475,1197234,1489247,Free,Free,1588,114.13
No,No,24706,25475,9056076,1489247,Free,Free,1815,153.5
No,No,32991,25475,8621121,1489247,Controlled,Free,657,195.64
No,No,32991,25475,8621121,1489247,Controlled,Free,657,195.64
No,No,32991,25475,8621121,1489247,Free,Constrained,657,195.64
Yes,Yes,22360,25475,1421287,1489247,Free,Free,828,97.36
No,Yes,23025,25475,2753373,1489247,Free,Free,1491,138.08
No,No,38813,25475,1653017,1489247,Free,Free,1941,157.45
Yes,Yes,23654,25475,2195215,1489247,Free,Free,844,99.43
Yes,No,26993,23614,3532657,1008768,Free,Free,280,87.59
Yes,No,29260,23614,7830332,1008768,Controlled,Free,865,158.63
Yes,No,29260,23614,7830332,1008768,Free,Free,865,158.63
Yes,No,26752,23614,1440377,1008768,Free,Free,303,114.93
No,No,26993,25450,3532657,1694803,Free,Free,685,116.18
No,Yes,29260,25450,7830332,1694803,Controlled,Free,407,75.71
No,Yes,29260,25450,7830332,1694803,Free,Free,407,75.71
No,No,28637,25450,3036732,1694803,Free,Free,458,116.57
No,No,29055,25450,1862106,1694803,Free,Free,541,110.25
No,Yes,26506,25450,4459144,1694803,Free,Constrained,639,123.27
No,Yes,27211,25450,3770125,1694803,Free,Free,652,127.78
Yes,Yes,24575,25450,1197234,1694803,Free,Free,1140,78.24
No,Yes,24706,25450,9056076,1694803,Free,Free,1365,116
Yes,Yes,22089,24575,668159,1197234,Free,Free,479,72.43
Yes,No,26993,24575,3532657,1197234,Free,Free,1744,143.62
Yes,Yes,23665,24575,1038660,1197234,Free,Free,1087,80.31
Yes,No,30124,24575,5787293,1197234,Free,Free,2372,133.35
Yes,Yes,24706,24575,9056076,1197234,Free,Free,226,52.92
Yes,Yes,29260,24575,7830332,1197234,Controlled,Free,1519,123.74
Yes,Yes,29260,24575,7830332,1197234,Free,Free,1519,123.74
Yes,Yes,26046,24575,2230955,1197234,Free,Free,1831,159.12
Yes,No,24502,24575,125722,1197234,Free,Free,1769,115.84
Yes,No,28637,24575,3036732,1197234,Free,Free,1052,164.88
Yes,No,29055,24575,1862106,1197234,Free,Free,618,89.47
Yes,No,26506,24575,4459144,1197234,Free,Constrained,1756,163.78
Yes,Yes,27211,24575,3770125,1197234,Free,Free,1222,112.99
Yes,Yes,24706,24575,9056076,1197234,Free,Free,238,55.57
Yes,Yes,24706,24575,9056076,1197234,Free,Free,238,55.57
No,Yes,28637,22726,3036732,547633,Free,Free,308,59.77
No,Yes,22089,24706,668159,9056076,Free,Free,673,76.79
No,No,26993,24706,3532657,9056076,Free,Free,1946,225.56
No,No,30124,24706,5787293,9056076,Free,Free,2605,301.79
No,No,29260,24706,7830332,9056076,Controlled,Free,1751,233.78
No,No,29260,24706,7830332,9056076,Free,Free,1751,233.78
No,No,26046,24706,2230955,9056076,Free,Free,2062,231.97
No,No,24502,24706,125722,9056076,Free,Free,1996,179.23
No,No,28637,24706,3036732,9056076,Free,Free,1234,272.06
No,No,29055,24706,1862106,9056076,Free,Free,854,129.8
No,No,26506,24706,4459144,9056076,Free,Constrained,1988,295.49
Yes,No,26752,24706,1440377,9056076,Free,Free,2341,193.5
No,Yes,27211,24706,3770125,9056076,Free,Free,1379,195.28
No,No,26993,24307,3532657,989164,Free,Free,320,101.68
No,Yes,29838,24307,29838,989164,Free,Free,495,60.26
No,Yes,29260,24307,7830332,989164,Controlled,Free,276,68.06
No,Yes,29260,24307,7830332,989164,Free,Free,276,68.06
No,Yes,28637,20980,3036732,231325,Free,Free,283,60.87
No,No,26993,24725,3532657,1074558,Free,Free,331,70.62
Yes,No,26993,21207,3532657,2105604,Free,Free,595,97.93
Yes,No,30124,21207,5787293,2105604,Free,Free,1259,158.5
Yes,No,29260,21207,7830332,2105604,Controlled,Free,1187,168.92
Yes,No,29260,21207,7830332,2105604,Free,Free,1187,168.92
Yes,No,28637,21207,3036732,2105604,Free,Free,1116,185.11
Yes,No,26506,21207,4459144,2105604,Free,Constrained,1151,133.98
Yes,No,24706,21207,9056076,2105604,Free,Free,2336,207.83
Yes,No,24575,26695,1197234,1646147,Free,Free,1521,146.36
No,No,32991,26695,8621121,1646147,Controlled,Free,736,190.09
No,No,32991,26695,8621121,1646147,Controlled,Free,736,190.09
No,No,32991,26695,8621121,1646147,Free,Constrained,736,190.09
Yes,No,22360,26695,1421287,1646147,Free,Free,1066,104.87
No,No,23025,26695,2753373,1646147,Free,Free,1461,154.06
No,No,26993,28739,3532657,2761118,Free,Constrained,904,269.43
No,No,30124,28739,5787293,2761118,Free,Constrained,1114,258.85
No,No,29260,28739,7830332,2761118,Controlled,Constrained,342,156.93
No,No,29260,28739,7830332,2761118,Free,Constrained,342,156.93
No,No,28637,28739,3036732,2761118,Free,Constrained,857,230.71
No,No,29055,28739,1862106,2761118,Free,Constrained,693,133.5
No,No,26506,28739,4459144,2761118,Free,Constrained,530,286.54
No,No,25450,28739,1694803,2761118,Free,Constrained,401,232.55
Yes,No,24575,28739,1197234,2761118,Free,Constrained,1301,171.67
No,No,24706,28739,9056076,2761118,Free,Constrained,1539,246.1
No,Yes,29260,25995,7830332,1115048,Controlled,Free,401,84.21
No,Yes,29260,25995,7830332,1115048,Free,Free,401,84.21
No,No,28637,25995,3036732,1115048,Free,Free,634,181.99
No,Yes,26506,25995,4459144,1115048,Free,Constrained,466,166.25
No,Yes,27211,25995,3770125,1115048,Free,Free,671,107.86
No,Yes,24706,25995,9056076,1115048,Free,Free,1798,181.02
No,No,32991,25995,8621121,1115048,Controlled,Free,760,215.01
No,No,32991,25995,8621121,1115048,Controlled,Free,760,215.01
No,No,32991,25995,8621121,1115048,Free,Constrained,760,215.01
Yes,Yes,22360,25995,1421287,1115048,Free,Free,615,87.8
No,No,26993,22038,3532657,1308499,Free,Free,419,120.7
No,Yes,29260,22038,7830332,1308499,Controlled,Free,829,132.85
No,Yes,29260,22038,7830332,1308499,Free,Free,829,132.85
No,Yes,28637,22038,3036732,1308499,Free,Free,455,84.53
No,Yes,27211,22038,3770125,1308499,Free,Free,319,76.81
No,Yes,24706,22038,9056076,1308499,Free,Free,1678,202
No,No,22089,32991,668159,8621121,Controlled,Free,1822,208.79
No,No,22089,32991,668159,8621121,Controlled,Free,1822,208.79
No,No,22089,32991,668159,8621121,Free,Constrained,1822,208.79
No,No,26993,32991,3532657,8621121,Controlled,Free,756,162.28
No,No,26993,32991,3532657,8621121,Controlled,Free,756,162.28
No,No,26993,32991,3532657,8621121,Free,Constrained,756,162.28
No,No,23665,32991,1038660,8621121,Controlled,Free,1515,287.23
No,No,23665,32991,1038660,8621121,Controlled,Free,1515,287.23
No,No,23665,32991,1038660,8621121,Free,Constrained,1515,287.23
No,No,30124,32991,5787293,8621121,Controlled,Free,183,116.78
No,No,30124,32991,5787293,8621121,Controlled,Free,183,116.78
No,No,30124,32991,5787293,8621121,Free,Constrained,183,116.78
No,No,29260,32991,7830332,8621121,Controlled,Free,723,159.71
No,No,29260,32991,7830332,8621121,Controlled,Free,723,159.71
No,No,29260,32991,7830332,8621121,Controlled,Constrained,723,159.71
No,No,29260,32991,7830332,8621121,Controlled,Free,723,159.71
No,No,29260,32991,7830332,8621121,Controlled,Free,723,159.71
No,No,29260,32991,7830332,8621121,Free,Constrained,723,159.71
No,No,25059,32991,1595139,8621121,Controlled,Constrained,582,205
No,No,25059,32991,1595139,8621121,Controlled,Constrained,582,205
No,No,25059,32991,1595139,8621121,Free,Constrained,582,205
No,No,26046,32991,2230955,8621121,Controlled,Free,408,143.44
No,No,26046,32991,2230955,8621121,Controlled,Free,408,143.44
No,No,26046,32991,2230955,8621121,Free,Constrained,408,143.44
No,No,24502,32991,125722,8621121,Controlled,Free,475,174.87
No,No,24502,32991,125722,8621121,Controlled,Free,475,174.87
No,No,24502,32991,125722,8621121,Free,Constrained,475,174.87
No,No,28637,32991,3036732,8621121,Controlled,Free,1389,304.18
No,No,28637,32991,3036732,8621121,Controlled,Free,1389,304.18
No,No,28637,32991,3036732,8621121,Free,Constrained,1389,304.18
No,No,29055,32991,1862106,8621121,Controlled,Free,1624,270.36
No,No,29055,32991,1862106,8621121,Controlled,Free,1624,270.36
No,No,29055,32991,1862106,8621121,Free,Constrained,1624,270.36
No,No,26506,32991,4459144,8621121,Controlled,Constrained,492,209.35
No,No,26506,32991,4459144,8621121,Controlled,Constrained,492,209.35
No,No,26506,32991,4459144,8621121,Free,Constrained,492,209.35
Yes,No,26752,32991,1440377,8621121,Controlled,Free,1068,123.18
Yes,No,26752,32991,1440377,8621121,Controlled,Free,1068,123.18
Yes,No,26752,32991,1440377,8621121,Free,Constrained,1068,123.18
Yes,No,24510,32991,379566,8621121,Controlled,Free,1076,143.2
Yes,No,24510,32991,379566,8621121,Controlled,Free,1076,143.2
Yes,No,24510,32991,379566,8621121,Free,Constrained,1076,143.2
No,No,21081,32991,895123,8621121,Controlled,Free,613,144.6
No,No,21081,32991,895123,8621121,Controlled,Free,613,144.6
No,No,21081,32991,895123,8621121,Free,Constrained,613,144.6
No,No,27211,32991,3770125,8621121,Controlled,Free,1426,349.53
No,No,27211,32991,3770125,8621121,Controlled,Free,1426,349.53
No,No,27211,32991,3770125,8621121,Free,Constrained,1426,349.53
Yes,No,23614,32991,1008768,8621121,Controlled,Free,842,183.43
Yes,No,23614,32991,1008768,8621121,Controlled,Free,842,183.43
Yes,No,23614,32991,1008768,8621121,Free,Constrained,842,183.43
No,No,25450,32991,1694803,8621121,Controlled,Free,1103,223.99
No,No,25450,32991,1694803,8621121,Controlled,Free,1103,223.99
No,No,25450,32991,1694803,8621121,Free,Constrained,1103,223.99
Yes,No,24575,32991,1197234,8621121,Controlled,Free,2237,169.41
Yes,No,24575,32991,1197234,8621121,Controlled,Free,2237,169.41
Yes,No,24575,32991,1197234,8621121,Free,Constrained,2237,169.41
No,No,24706,32991,9056076,8621121,Controlled,Free,2467,326.47
No,No,24706,32991,9056076,8621121,Controlled,Free,2467,326.47
No,No,24706,32991,9056076,8621121,Free,Constrained,2467,326.47
No,No,24725,32991,1074558,8621121,Controlled,Free,951,234.31
No,No,24725,32991,1074558,8621121,Controlled,Free,951,234.31
No,No,24725,32991,1074558,8621121,Free,Constrained,951,234.31
Yes,No,21207,32991,2105604,8621121,Controlled,Free,1097,124.92
Yes,No,21207,32991,2105604,8621121,Controlled,Free,1097,124.92
Yes,No,21207,32991,2105604,8621121,Free,Constrained,1097,124.92
No,No,28739,32991,2761118,8621121,Controlled,Constrained,1015,278.39
No,No,28739,32991,2761118,8621121,Controlled,Constrained,1015,278.39
No,No,28739,32991,2761118,8621121,Free,Constrained,1015,278.39
No,No,22038,32991,1308499,8621121,Controlled,Free,1173,208.71
No,No,22038,32991,1308499,8621121,Controlled,Free,1173,208.71
No,No,22038,32991,1308499,8621121,Free,Constrained,1173,208.71
No,No,21125,32991,1536012,8621121,Controlled,Free,291,150.13
No,No,21125,32991,1536012,8621121,Controlled,Free,291,150.13
No,No,21125,32991,1536012,8621121,Free,Constrained,291,150.13
No,Yes,24706,29846,9056076,2237227,Free,Free,325,56.43
Yes,Yes,24575,29846,1197234,2237227,Free,Free,407,58.03
No,Yes,24706,29846,9056076,2237227,Free,Free,334,53.8
No,Yes,28637,20927,3036732,1021733,Free,Free,180,66.14
No,Yes,27211,20927,3770125,1021733,Free,Free,410,96.18
No,Yes,29260,25127,7830332,679984,Controlled,Free,428,67.77
No,Yes,29260,25127,7830332,679984,Free,Free,428,67.77
No,No,29055,25127,1862106,679984,Free,Free,474,139.81
Yes,No,26993,22360,3532657,1421287,Free,Free,404,92.78
Yes,No,30124,22360,5787293,1421287,Free,Free,1119,117.97
Yes,Yes,29260,22360,7830332,1421287,Controlled,Free,995,121.67
Yes,Yes,29260,22360,7830332,1421287,Free,Free,995,121.67
Yes,No,25059,22360,1595139,1421287,Free,Constrained,756,138.88
Yes,No,26046,22360,2230955,1421287,Free,Free,902,140.9
Yes,Yes,24502,22360,125722,1421287,Free,Free,802,104.33
Yes,No,28637,22360,3036732,1421287,Free,Free,984,153.58
Yes,No,29055,22360,1862106,1421287,Free,Free,1545,201.43
Yes,No,26506,22360,4459144,1421287,Free,Constrained,963,102.95
Yes,Yes,26752,22360,1440377,1421287,Free,Free,174,45.55
Yes,No,30268,22360,1106780,1421287,Free,Free,1045,114.5
Yes,Yes,27211,22360,3770125,1421287,Free,Free,856,150.04
Yes,Yes,25450,22360,1694803,1421287,Free,Free,1064,121.35
Yes,No,24575,22360,1197234,1421287,Free,Free,2035,117.59
Yes,No,24706,22360,9056076,1421287,Free,Free,2216,258.43
Yes,No,21207,22360,2105604,1421287,Free,Free,192,96.53
Yes,No,21207,22360,2105604,1421287,Free,Free,192,96.53
Yes,No,28739,22360,2761118,1421287,Free,Constrained,1308,204.62
Yes,Yes,22038,22360,1308499,1421287,Free,Free,541,92.35
Yes,No,32991,22360,8621121,1421287,Controlled,Free,947,123.97
Yes,No,32991,22360,8621121,1421287,Controlled,Free,947,123.97
Yes,No,32991,22360,8621121,1421287,Free,Constrained,947,123.97
No,No,26993,27994,3532657,4948339,Free,Free,674,125.09
No,No,30124,27994,5787293,4948339,Free,Free,265,138.56
No,No,29260,27994,7830332,4948339,Controlled,Free,673,215.06
No,No,29260,27994,7830332,4948339,Free,Free,673,215.06
No,No,28637,27994,3036732,4948339,Free,Free,1314,249.45
No,No,29055,27994,1862106,4948339,Free,Free,1568,335.55
No,No,26506,27994,4459144,4948339,Free,Constrained,450,175.66
Yes,No,26752,27994,1440377,4948339,Free,Free,997,132.77
No,No,27211,27994,3770125,4948339,Free,Free,1347,353.56
Yes,No,24575,27994,1197234,4948339,Free,Free,2179,165.9
No,No,24706,27994,9056076,4948339,Free,Free,2407,293.21
Yes,No,21207,27994,2105604,4948339,Free,Free,1026,152.67
No,No,28739,27994,2761118,4948339,Free,Constrained,979,295.46
Yes,No,22360,27994,1421287,4948339,Free,Free,872,114.28
No,Yes,22089,23025,668159,2753373,Free,Free,327,57.05
No,No,26993,23025,3532657,2753373,Free,Free,1591,200.09
No,Yes,23665,23025,1038660,2753373,Free,Free,876,105.41
No,No,30124,23025,5787293,2753373,Free,Free,2295,197.42
No,Yes,24706,23025,9056076,2753373,Free,Free,363,57.33
No,Yes,29260,23025,7830332,2753373,Controlled,Free,1446,152.1
No,Yes,29260,23025,7830332,2753373,Free,Free,1446,152.1
No,Yes,26046,23025,2230955,2753373,Free,Free,1749,166.66
No,Yes,24502,23025,125722,2753373,Free,Free,1673,158
No,No,28637,23025,3036732,2753373,Free,Free,870,229.84
No,No,29055,23025,1862106,2753373,Free,Free,590,133.04
No,Yes,26506,23025,4459144,2753373,Free,Constrained,1682,191.66
No,Yes,14600,23025,677757,2753373,Free,Free,353,60.73
No,Yes,27211,23025,3770125,2753373,Free,Free,1014,148.28
No,Yes,25450,23025,1694803,2753373,Free,Free,1046,85.48
Yes,Yes,24575,23025,1197234,2753373,Free,Free,248,53.07
No,Yes,24706,23025,9056076,2753373,Free,Free,366,51.73
No,No,28739,23025,2761118,2753373,Free,Constrained,1279,195.91
No,No,32991,23025,8621121,2753373,Controlled,Free,2148,273.12
No,No,32991,23025,8621121,2753373,Controlled,Free,2148,273.12
No,No,32991,23025,8621121,2753373,Free,Constrained,2148,273.12
No,Yes,29846,23025,2237227,2753373,Free,Free,638,84.15
No,Yes,25127,23025,679984,2753373,Free,Free,1031,81.32
Yes,Yes,22360,23025,1421287,2753373,Free,Free,1851,162.53
No,No,27994,23025,4948339,2753373,Free,Free,2083,291.78
No,No,26993,25054,3532657,2374260,Free,Constrained,525,93.55
No,No,30124,25054,5787293,2374260,Free,Constrained,483,186.28
No,No,29260,25054,7830332,2374260,Controlled,Constrained,412,208.86
No,No,29260,25054,7830332,2374260,Free,Constrained,412,208.86
No,No,32991,25054,8621121,2374260,Controlled,Constrained,325,169.9
No,No,32991,25054,8621121,2374260,Controlled,Constrained,325,169.9
No,No,32991,25054,8621121,2374260,Free,Constrained,325,169.9
No,No,32991,25054,8621121,2374260,Free,Constrained,325,169.9
Yes,No,22360,25054,1421287,2374260,Free,Constrained,831,122.62
No,No,27994,25054,4948339,2374260,Free,Constrained,264,134.09
No,Yes,23901,26409,372606,249561,Free,Free,344,66.88
No,No,29260,26409,7830332,249561,Controlled,Free,1749,279.61
No,No,29260,26409,7830332,249561,Free,Free,1749,279.61
No,No,29055,26409,1862106,249561,Free,Free,992,188.46
Yes,No,26681,26409,873131,249561,Free,Free,2603,205.51
Yes,Yes,24575,26409,1197234,249561,Free,Free,760,69.19
No,Yes,24706,26409,9056076,249561,Free,Free,831,91.97
No,No,32991,26409,8621121,249561,Controlled,Free,2444,302.33
No,No,32991,26409,8621121,249561,Controlled,Free,2444,302.33
No,No,32991,26409,8621121,249561,Free,Constrained,2444,302.33
No,Yes,29846,26409,2237227,249561,Free,Free,543,63.76
No,Yes,23025,26409,2753373,249561,Free,Free,1001,114.95
No,Yes,24236,26409,1481076,249561,Free,Free,485,65.8
No,Yes,21121,26409,1228816,249561,Free,Free,633,79.48
No,Yes,23903,26409,2673620,249561,Free,Free,933,96.58
No,No,38813,26409,1653017,249561,Free,Free,542,68.41
No,Yes,34880,26409,1594251,249561,Free,Free,569,65.84
No,No,30916,26409,2230831,249561,Free,Free,135,88.46
No,Yes,21300,26409,403939,249561,Free,Free,281,50.38
No,No,29838,24205,29838,905329,Free,Free,328,176.88
No,No,29260,24205,7830332,905329,Controlled,Free,842,219.38
No,No,29260,24205,7830332,905329,Free,Free,842,219.38
No,No,32991,24205,8621121,905329,Controlled,Free,147,106.29
No,No,32991,24205,8621121,905329,Controlled,Free,147,106.29
No,No,32991,24205,8621121,905329,Free,Constrained,147,106.29
Yes,No,22360,24205,1421287,905329,Free,Free,1075,108.96
No,No,26993,26101,3532657,1021830,Free,Free,356,123.44
No,No,30124,26101,5787293,1021830,Free,Free,606,140.07
No,No,29260,26101,7830332,1021830,Controlled,Free,636,193.67
No,No,29260,26101,7830332,1021830,Free,Free,636,193.67
No,No,28637,26101,3036732,1021830,Free,Free,1065,230.56
No,No,32991,26101,8621121,1021830,Controlled,Free,426,154.73
No,No,32991,26101,8621121,1021830,Controlled,Free,426,154.73
No,No,32991,26101,8621121,1021830,Free,Constrained,426,154.73
No,No,27994,26101,4948339,1021830,Free,Free,346,144.86
No,No,31981,26101,4549784,1021830,Free,Free,225,109.44
No,No,31981,26101,4549784,1021830,Controlled,Free,225,109.44
Yes,No,29260,29284,7830332,298680,Controlled,Free,1680,125.9
Yes,No,29260,29284,7830332,298680,Free,Free,1680,125.9
Yes,Yes,24575,29284,1197234,298680,Free,Free,344,54.38
Yes,Yes,24706,29284,9056076,298680,Free,Free,388,60.28
Yes,Yes,29846,29284,2237227,298680,Free,Free,180,47.85
Yes,Yes,23025,29284,2753373,298680,Free,Free,592,72.42
Yes,Yes,26409,29284,249561,298680,Free,Free,444,44.89
Yes,Yes,23903,29284,2673620,298680,Free,Free,488,68.59
Yes,Yes,34880,29284,1594251,298680,Free,Free,188,42.47
Yes,Yes,30916,29284,2230831,298680,Free,Free,569,45.11
No,No,32991,26553,8621121,936107,Controlled,Free,287,218.54
No,No,32991,26553,8621121,936107,Controlled,Free,287,218.54
No,No,32991,26553,8621121,936107,Free,Constrained,287,218.54
No,No,32991,26044,8621121,113091,Controlled,Free,254,127.38
No,No,32991,26044,8621121,113091,Controlled,Free,254,127.38
No,No,32991,26044,8621121,113091,Free,Constrained,254,127.38
No,Yes,24706,24236,9056076,1481076,Free,Free,349,52.53
Yes,Yes,24575,24236,1197234,1481076,Free,Free,387,56.91
No,Yes,24706,24236,9056076,1481076,Free,Free,361,56.79
No,Yes,23025,24236,2753373,1481076,Free,Free,629,78.67
No,Yes,23903,24236,2673620,1481076,Free,Free,472,57.57
No,Yes,30916,24236,2230831,1481076,Free,Free,618,64.39
