Price,Age,KM,Fuel_Type,HP,Metallic,Automatic,CC,Doors,Quarterly_Tax,Weight
15750,23,28227,Petrol,97,Yes,N,1400,5,85,1110
19950,28,28000,Petrol,110,No,N,1600,5,,1130
16950,23,28000,Petrol,110,Yes,N,1600,5,85,1115
18750,31,,Petrol,110,Yes,N,1600,5,85,1130
18450,27,23489,Petrol,110,No,N,1600,5,85,1115
16895,29,22575,Petrol,110,Yes,N,1600,5,85,1115
14900,30,22000,Petrol,97,Yes,N,1400,5,85,1110
18950,25,20019,Petrol,110,Yes,Y,16000,5,100,1180
17250,29,20000,Petrol,110,Yes,N,1600,5,85,1115
15450,25,17003,Petrol,97,Yes,N,1400,5,85,1110
17950,31,16238,Petrol,110,Yes,Y,1600,5,100,1180
16650,25,15414,Petrol,97,Yes,N,1400,5,85,1110
17450,28,8537,Petrol,110,Yes,N,1600,5,85,1130
14900,30,7000,Petrol,97,Yes,N,,5,85,1100
17950,20,66966,Diesel,90,Yes,N,2000,3,210,1245
15950,19,51884,Petrol,97,Yes,N,1400,3,85,1100
21950,19,,Diesel,110,Yes,N,2000,3,234,1265
16450,20,48110,Petrol,97,Yes,N,1400,3,85,1100
22250,20,37500,Diesel,90,Yes,N,2000,3,234,1260
19950,16,34472,Diesel,90,Yes,N,1995,3,234,1260
,20,33329,Petrol,97,Yes,N,1400,3,85,1100
18900,20,31850,Petrol,110,No,N,1600,3,85,1120
19950,17,30351,Diesel,90,Yes,N,1995,3,234,1260
15950,19,29435,Petrol,97,Yes,N,1400,3,85,1100
15950,19,25948,Petrol,97,Yes,N,1400,3,85,1100
18750,11,24500,Petrol,110,Yes,N,1600,3,85,1120
16950,29,43905,Petrol,110,No,Y,1600,3,100,1170
